lecture,slide_id,model_name,num_concepts_run1,num_concepts_run2,num_triples_run1,num_triples_run2,concept_jaccard,triple_jaccard
Lecture 1,Slide35,OpenGVLab__InternVL3-14B,6,6,0,0,1.0,1.0
Lecture 1,Slide35,Qwen__Qwen2-VL-7B-Instruct,7,7,0,0,1.0,1.0
Lecture 1,Slide35,Qwen__Qwen3-VL-4B-Instruct,7,7,0,0,1.0,1.0
Lecture 1,Slide35,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide36,OpenGVLab__InternVL3-14B,5,5,0,0,1.0,1.0
Lecture 1,Slide36,Qwen__Qwen2-VL-7B-Instruct,7,7,0,0,1.0,1.0
Lecture 1,Slide36,Qwen__Qwen3-VL-4B-Instruct,6,6,0,0,1.0,1.0
Lecture 1,Slide36,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide37,OpenGVLab__InternVL3-14B,1,1,0,0,1.0,1.0
Lecture 1,Slide37,Qwen__Qwen2-VL-7B-Instruct,5,5,0,0,1.0,1.0
Lecture 1,Slide37,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide37,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide38,OpenGVLab__InternVL3-14B,9,9,0,0,1.0,1.0
Lecture 1,Slide38,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide38,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide38,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide39,OpenGVLab__InternVL3-14B,10,10,0,0,1.0,1.0
Lecture 1,Slide39,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide39,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide39,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide4,OpenGVLab__InternVL3-14B,3,3,1,1,1.0,1.0
Lecture 1,Slide4,Qwen__Qwen2-VL-7B-Instruct,8,8,0,0,1.0,1.0
Lecture 1,Slide4,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide4,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide40,OpenGVLab__InternVL3-14B,1,1,0,0,1.0,1.0
Lecture 1,Slide40,Qwen__Qwen2-VL-7B-Instruct,1,1,1,1,1.0,1.0
Lecture 1,Slide40,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide40,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide41,OpenGVLab__InternVL3-14B,1,1,0,0,1.0,1.0
Lecture 1,Slide41,Qwen__Qwen2-VL-7B-Instruct,1,1,1,1,1.0,1.0
Lecture 1,Slide41,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide41,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide42,OpenGVLab__InternVL3-14B,1,1,0,0,1.0,1.0
Lecture 1,Slide42,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide42,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide42,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide43,OpenGVLab__InternVL3-14B,9,9,0,0,1.0,1.0
Lecture 1,Slide43,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide43,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide43,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide44,OpenGVLab__InternVL3-14B,3,3,3,3,1.0,1.0
Lecture 1,Slide44,Qwen__Qwen2-VL-7B-Instruct,3,3,0,0,1.0,1.0
Lecture 1,Slide44,Qwen__Qwen3-VL-4B-Instruct,2,2,0,0,1.0,1.0
Lecture 1,Slide44,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,1,1,1.0,1.0
Lecture 1,Slide45,OpenGVLab__InternVL3-14B,6,6,0,0,1.0,1.0
Lecture 1,Slide45,Qwen__Qwen2-VL-7B-Instruct,7,7,0,0,1.0,1.0
Lecture 1,Slide45,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide45,llava-hf__llava-onevision-qwen2-7b-ov-hf,5,5,0,0,1.0,1.0
Lecture 1,Slide46,OpenGVLab__InternVL3-14B,7,7,1,1,1.0,1.0
Lecture 1,Slide46,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide46,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
