tx_hash,block,gas_used,effective_gas_price
6f1af32bf62604b4a34a494fb638eab6270f16e8a11b6eba3602a4e63413574c,29,231424,1022265864
0b99c0b06c898fd5d1e988f955aa1a2abae6e7cfa85dd7a73f56e3c726016d83,30,231424,1019525572
0b59d4a9c12bb4e5470fdc176f09f4b9eed198a432622eb5d235a1dfca25c844,31,231424,1017122532
99a305e2173a56899caf9999a978ec7217beaa42a9a29652322c849e70664d44,32,231424,1015015237
38c30626a4e788bb1abb2c253dce220c58a27d2ac3fbe873d67eb4bbc2c895b8,33,231424,1013167290
24300a190d274d1a46c1c928deed473482c3b3e74182e57879afb84ce76b5225,34,231424,1011546773
d08ea966d3d76a9cc5d9f6978e0c8f3c16ada53e248d2f4d0f54e9038ee1daea,35,231424,1010125695
6159cad71c091a72ccc6349e07085252cd40e603f0ab15902276f2dcc2bb87de,36,231424,1008879511
c5f2374574ee9df986d117ce182b4ce45fbee9cebfae2ee827b3bcab389827a9,37,231424,1007786697
bee9893468af4a6131acc5def5fc54386afe653a293915aa404b8430fac0ba82,38,231424,1006828377
59d505acc4b1cb9a27f4238a588730387101b82c7020e0c938050448e3881165,39,231424,1005987999
92319df97f6286f8fd83ccc14085f1fc69671ce4c651dabac42d1719c01e058f,40,231424,1005251048
2b24355280ae012c3ca16819cb0614a7284462fe1a8422516871317257ef0d51,41,231424,1004604794
9cf56acd6cae1061f42aed5bdf176f4fd2f00380e21e29d8c75600d15bb8f5ce,42,231424,1004038076
3e426019ad6fa72500bcd1c349404bc4b28dc6e59b0a7413a7c38fd5dbded1f7,43,231424,1003541105
12a602ca79ead7f7b05bce83a63bb98a66a743de3e67f93943fb02d3f8cc94e5,44,231424,1003105297
56f05577b0b296c7c0ec109d59ecc9292aebcb86f8ca17501146fc37685d817e,45,231424,1002723124
f862a68a7a823021bfc8a0029d367d30b23023a61a20795f997f09a96890f1a8,46,231424,1002387986
d22b7f401c446cb747cd21c9c0174d5a9d4e6ea52486351251eccafb82d84bf0,47,231424,1002094094
a9267902680314d89f0caccc83f10ebb65b0be950421deb7a14bfa8e029bc521,48,231424,1001836371
9dcae1282bc787bae55cddbeed947ae16e5baac495bf2ad0016fc61fad45ea75,49,231424,1001610367
d5a1a134d67531cf8e83c91a0cc44f5bd8c03bad6ff632c1a2d13bea85863898,50,231424,1001412177
ea60f38430b69e10c75c1a448453349ddea44d011d964f6e15af393fe424d9cc,51,231424,1001238379
1e6167fee83cfe8222b19457d2b1fa319be0e30ec5f13d7b4cce18b152a58d5e,52,231412,1001085970
514efe2d84704a6b246696683f700024ea6ddde9089eb7a9add9cacda9753b60,53,231412,1000952318
445fc306604f728198b8a7657a0a30908a14086b845f1bc4881f27d4f310b08e,54,231412,1000835115
783a88d89fd190d1d235476dc8462d23e6110a881562dcdba3df65539cad138c,55,231412,1000732337
becc505e86c0019ab727e715bf10d62aa4f2c1500333c30ffb4fbbe7d393b9aa,56,231412,1000642208
8166f786420c83a08abb48754b9787f91aa68363c1b0eab9eb415215b39931c3,57,231412,1000563171
3799cf5c36616cb801306922cbc7fd4b732dcadfc857344b9aec3afa51c4b5d8,58,231412,1000493861
d44392beeafd895ebc776e94969b0322421ba138a85a0709a80bbaa2ea786492,59,231412,1000433081
e85e454b69c84527c8ff46714f2d9b6ffbbf7dcf2d47680e8e33a85edae5a191,60,231412,1000379782
7b8abf32ce3445abea11de423155de1374137b777e3a4e53b2871973a2222f51,61,231424,1000333042
be89e3d983902fa229b691395306e93d98c976a956dc93f481c9b4b89bdf7e3a,62,231424,1000292055
db41d029f8c5a9d7cf6448a079d9bf862476648916c4d10c16ecad7c6cd97bd8,63,231424,1000256112
c2780e9cc0a709da9324d2c1358a1d30be1ec7ff984468c6f1278cafd8849a34,64,231424,1000224592
1a03eaf2bbb0343cc9d444f8c6bdfcd5a7aea347260a4086ee42a750c5b64fec,65,231424,1000196952
f4e106195152a0bfd944fd2adad05b3d0a4aa79eea7bdc2d9deeed16008a4caf,66,231424,1000172713
762fd5d308ec3a9280c257bb537c9429fed20e009f06e8997e15faf445143c32,67,231424,1000151457
