lecture,slide,status,local_hash,onchain_hash
1,21,match,0x114cc8181b8704920875c3305c688fe14b2e22d4e5bc8e381749c24d6f9cd9f1,0x114cc8181b8704920875c3305c688fe14b2e22d4e5bc8e381749c24d6f9cd9f1
1,22,match,0xdfec4ed112163d7e839e4f4203a5f1475f7158de3108b81df5d4852438c9fcd2,0xdfec4ed112163d7e839e4f4203a5f1475f7158de3108b81df5d4852438c9fcd2
1,23,match,0x148603d8394d852dd066ae011ebe9ba9e658f684b66df033593bf11afa343285,0x148603d8394d852dd066ae011ebe9ba9e658f684b66df033593bf11afa343285
1,24,match,0x82e09768f5cc2a8b8cfa788b9b99d455cac4013bfdba9c68a0be20852c6fd353,0x82e09768f5cc2a8b8cfa788b9b99d455cac4013bfdba9c68a0be20852c6fd353
1,25,match,0x815c9b85e38864db2fe93641ad0d775e690f2c14494eaec10a6b0235780250eb,0x815c9b85e38864db2fe93641ad0d775e690f2c14494eaec10a6b0235780250eb
1,26,match,0xbbabb3954acbcbe39d1abb2ce8b4c80cd20fbfe35ba9af05f85743d4639c2b9e,0xbbabb3954acbcbe39d1abb2ce8b4c80cd20fbfe35ba9af05f85743d4639c2b9e
1,27,match,0xa7b357bf341a998c20cfca63b0626da6cff8aa2c9ae095df3dcc41d269ff3a5b,0xa7b357bf341a998c20cfca63b0626da6cff8aa2c9ae095df3dcc41d269ff3a5b
1,28,match,0x432e5ed59f0f773527d8ccde65c0ad8d5f674d16708a7f65e2ca49cdd0410bfe,0x432e5ed59f0f773527d8ccde65c0ad8d5f674d16708a7f65e2ca49cdd0410bfe
1,29,match,0x9ee3264d3747b1f523afacf516ecb511eee876040be812e4ed7fd2699798e0dd,0x9ee3264d3747b1f523afacf516ecb511eee876040be812e4ed7fd2699798e0dd
1,3,match,0xbffa12120bf2d2afef1b617cc8ec56419e19b5b2d5563397589d43ebbddbf106,0xbffa12120bf2d2afef1b617cc8ec56419e19b5b2d5563397589d43ebbddbf106
1,30,match,0x13844c3185c4d998eafc90ea2a14f5456a37e6245e7437f4c03f6d0fede7e1b1,0x13844c3185c4d998eafc90ea2a14f5456a37e6245e7437f4c03f6d0fede7e1b1
1,31,match,0xfe0808fe2928c4112ad6404309dd06ce0e687a06bc697b15da7eee50b67e81f0,0xfe0808fe2928c4112ad6404309dd06ce0e687a06bc697b15da7eee50b67e81f0
1,32,match,0x775493cdf7653322c2eee4b33307b41a3ae7e7c468591e414ccbaff38c1a18da,0x775493cdf7653322c2eee4b33307b41a3ae7e7c468591e414ccbaff38c1a18da
